Image Size,Timesteps,Channels,Location,Mvis,Mvis/h,Mvis/kWh,Mvis/kgCO2,Mvis/$,Power (W),Time (s),Energy (Wh),Dynamic Energy (Wh),Static Energy (Wh),Dynamic Power (%),Static Power (%),Operational Carbon (%),Embodied Carbon (%),Total Carbon (g CO2),Operational Cost (%),Capital Cost (%),Total Cost ($),operational_carbon,embodied_carbon,operational_cost,capital_cost
32768,1,256,SA,33.49,1300.54,4890.36,6830.11,1775.2,265.94,92.7,6.85,1.1733444444444443,5.674597668750002,17.1,82.9,93.9,6.1,4.9,6.9,93.1,0.02,4.601100000000001,0.2989,0.0013800000000000002,0.018619999999999998
32768,1,256,WA,33.49,1300.54,4890.36,13398.24,1725.1,265.94,92.7,6.85,1.1733444444444443,5.674597668750002,17.1,82.9,87.9,12.1,2.5,9.5,90.5,0.02,2.1975,0.3025,0.0019,0.0181
32768,8,256,SA,267.91,4678.31,17698.29,24709.08,6388.42,264.34,206.16,15.14,2.517672222222222,12.620011385000003,16.6,83.4,93.8,6.2,10.84,6.9,93.1,0.04,10.167919999999999,0.67208,0.0027600000000000003,0.037239999999999995
32768,8,256,WA,267.91,4678.31,17698.29,48453.06,6209.12,264.34,206.16,15.14,2.517672222222222,12.620011385000003,16.6,83.4,87.9,12.1,5.53,9.5,90.5,0.04,4.86087,0.66913,0.0038,0.0362
32768,64,256,SA,2143.29,6930.92,26677.82,37205.5,9475.6,259.8,1113.25,80.34,12.19253611111111,68.14720447395835,15.2,84.8,93.7,6.3,57.61,6.7,93.3,0.23,53.98057,3.6294299999999997,0.015410000000000002,0.21459
32768,64,256,WA,2143.29,6930.92,26677.82,72882.32,9213.79,259.8,1113.25,80.34,12.19253611111111,68.14720447395835,15.2,84.8,87.7,12.3,29.41,9.3,90.7,0.23,25.79257,3.61743,0.021390000000000003,0.20861000000000002
32768,128,256,SA,4286.58,7133.04,27373.99,38183.54,9749.96,260.58,2163.41,156.59,24.160741666666667,132.43237694229168,15.4,84.6,93.7,6.3,112.26,6.8,93.2,0.44,105.18762000000001,7.072380000000001,0.02992,0.41008
32768,128,256,WA,4286.58,7133.04,27373.99,74811.64,9479.84,260.58,2163.41,156.59,24.160741666666667,132.43237694229168,15.4,84.6,87.7,12.3,57.3,9.4,90.6,0.45,50.2521,7.047899999999999,0.042300000000000004,0.40769999999999995
32768,256,256,SA,8573.16,7341.43,28284.95,39444.47,10037.48,259.55,4204.0,303.1,45.75320277777778,257.3463710833334,15.1,84.9,93.7,6.3,217.35,6.7,93.3,0.85,203.65695,13.693049999999998,0.05695,0.7930499999999999
32768,256,256,WA,8573.16,7341.43,28284.95,77263.82,9760.39,259.55,4204.0,303.1,45.75320277777778,257.3463710833334,15.1,84.9,87.7,12.3,110.96,9.3,90.7,0.88,97.31191999999999,13.64808,0.08184000000000001,0.79816
