image_size,timesteps,channels,idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs
8192,8,8,91.140761715,55.622855339999994,35.517906375,28.87,20.06,3.156936671804641,4.54340786216351,1.0,1.0,1.0,1.0,1
8192,8,64,92.09209514,56.51802395,35.574071190000005,31.67,29.69,2.907865334385854,3.1017883172785448,1.0,1.0,1.0,1.0,1
8192,8,128,93.16732846600001,57.533464800000004,35.633863666,39.09,48.2,2.3834056911230497,1.9329321258506227,1.0,1.0,1.0,1.0,1
8192,8,256,95.32637092399999,59.57088079999999,35.755490124,58.43,75.78,1.6314627917850417,1.257935747215624,1.0,1.0,1.0,1.0,1
8192,64,1,201.0057775,122.64317559999999,78.3626019,42.77,29.0,4.6996908463876546,6.931233706896552,1.0,1.0,1.0,1.0,1
8192,64,8,202.32424079999998,123.7612032,78.56303759999999,46.16,43.59,4.38310746967071,4.6415288093599445,1.0,1.0,1.0,1.0,1
8192,64,64,234.50462305999997,145.906884,88.59773906,140.83,141.75,1.6651609959525666,1.6543536018342149,3.0,3.0,3.0,3.0,1
8192,64,128,269.079947625,169.87076112,99.20918650499998,257.84999999999997,216.43000000000004,1.0435522498545666,1.2432654790232405,5.0,5.0,5.0,5.0,1
8192,64,256,326.661225476,210.74529800000002,115.91592747600001,468.55,446.40999999999997,0.6971747422388219,0.7317515859322149,8.0,8.0,8.0,8.0,1
8192,128,1,231.82412694,141.5151997,90.30892724,48.08,53.7,4.8216332558236275,4.317022848044693,1.0,1.0,1.0,1.0,1
8192,128,8,233.76332146,143.3258838,90.43743765999999,57.21,71.22,4.086057008564936,3.2822707309744454,1.0,1.0,1.0,1.0,1
8192,128,64,292.631369185,184.26501985,108.36634933500001,256.03000000000003,178.59000000000003,1.1429573455649726,1.638565256649308,5.0,4.0,5.0,5.0,1
8192,128,128,378.5782946736,242.43690236,136.1413923136,514.9399999999999,465.01000000000005,0.7351891379065523,0.8141293621074814,10.0,10.0,10.0,10.0,1
8192,128,256,500.20805150499996,328.12910569999997,172.078945805,952.3299999999999,845.8399999999999,0.5252465547709302,0.5913743160704152,16.0,15.0,16.0,16.0,1
8192,256,1,248.26804342,151.6977608,96.57028262,54.41,49.62,4.562912027568462,5.003386606610238,1.0,1.0,1.0,1.0,1
8192,256,8,265.356219848,163.37921829,101.977001558,101.98,113.08999999999999,2.6020417714061583,2.34641630425325,2.0,2.0,2.0,2.0,1
8192,256,64,392.79756578599995,251.17427829999997,141.623287486,515.33,432.3,0.7622253037587564,0.9086226365625721,10.0,10.0,10.0,10.0,1
8192,256,128,559.729902009,364.49028020000003,195.239621809,1013.4499999999999,859.0499999999998,0.5523014475395925,0.6515684791444039,19.0,19.0,19.0,19.0,1
8192,256,256,829.0052278957,551.7360160000001,277.2692118957,1879.22,1667.3899999999999,0.44114325512483904,0.4971873574242979,32.0,32.0,32.0,32.0,1
16384,1,1,21.8330838375,13.31422794,8.5188558975,29.87,20.94,0.7309368542852359,1.0426496579512892,1.0,1.0,1.0,1.0,1
