image_size,timesteps,channels,host_joules_total,device_joules_total,host_event_count,device_event_count,n_runs,input_disk_gib,output_gib,total_gib,host_gib_per_j,device_gib_per_j
4096,128,8,39.62,37.16,1.0,1.0,1,0.998046875,0.0625,1.060546875,0.026767967566885414,0.028540012782561897
4096,128,64,229.74,166.45000000000002,5.0,5.0,1,7.984375,0.0625,8.046875,0.03502600766083398,0.04834409732652448
4096,128,128,447.0,376.64,10.0,10.0,1,15.96875,0.0625,16.03125,0.035864093959731544,0.04256385407816483
4096,128,256,815.6700000000001,671.81,16.0,16.0,1,31.9375,0.0625,32.0,0.03923155197567643,0.047632515145651304
4096,256,1,34.98,33.33,1.0,1.0,1,0.24951171875,0.0625,0.31201171875,0.00891971751715266,0.009361287691269128
4096,256,8,77.92,81.75,2.0,2.0,1,1.99609375,0.0625,2.05859375,0.026419324306981518,0.0251815749235474
4096,256,64,452.63,373.32000000000005,10.0,10.0,1,15.96875,0.0625,16.03125,0.035418001458144624,0.042942381870781095
4096,256,128,867.5400000000001,669.4399999999999,19.0,19.0,1,31.9375,0.0625,32.0,0.03688590727805058,0.047801147227533466
4096,256,256,1631.3600000000001,1307.3600000000001,32.0,32.0,1,63.875,0.0625,63.9375,0.03919275941545704,0.04890581018235222
8192,1,1,28.91,19.62,1.0,1.0,1,0.0009746551513671,0.25,0.2509746551513672,0.008681240233530514,0.012791776511282731
8192,1,8,24.25,16.42,1.0,1.0,1,0.0077972412109375,0.25,0.2577972412109375,0.010630814070554124,0.01570019739408876
8192,1,64,22.86,15.65,1.0,1.0,1,0.0623779296875,0.25,0.3123779296875,0.013664826320538058,0.01996025109824281
8192,1,128,23.55,15.71,1.0,1.0,1,0.124755859375,0.25,0.374755859375,0.01591319997346072,0.02385460594366645
8192,1,256,26.55,18.33,1.0,1.0,1,0.24951171875,0.25,0.49951171875,0.01881400070621469,0.02725104848608838
8192,8,1,33.55,22.82,1.0,1.0,1,0.0077972412109375,0.25,0.2577972412109375,0.007683971422084576,0.011296986906701906
8192,8,8,28.87,20.06,1.0,1.0,1,0.0623779296875,0.25,0.3123779296875,0.01082015689946311,0.015572179944541378
8192,8,64,31.67,29.69,1.0,1.0,1,0.4990234375,0.25,0.7490234375,0.023650882143984843,0.025228138683058267
8192,8,128,39.09,48.2,1.0,1.0,1,0.998046875,0.25,1.248046875,0.031927523023791246,0.025893088692946056
8192,8,256,58.43,75.78,1.0,1.0,1,1.99609375,0.25,2.24609375,0.03844076245079583,0.029639664159408816
8192,64,1,42.77,29.0,1.0,1.0,1,0.0623779296875,0.25,0.3123779296875,0.007303669153320084,0.010771652747844827
8192,64,8,46.16,43.59,1.0,1.0,1,0.4990234375,0.25,0.7490234375,0.01622667758882149,0.017183377781601283
8192,64,64,140.83,141.75,3.0,3.0,1,3.9921875,0.25,4.2421875,0.03012275438471916,0.029927248677248677
8192,64,128,257.84999999999997,216.43000000000004,5.0,5.0,1,7.984375,0.25,8.234375,0.03193474888501067,0.03804636603058725
8192,64,256,468.55,446.40999999999997,8.0,8.0,1,15.96875,0.25,16.21875,0.034614768968093054,0.036331511390873865
8192,128,1,48.08,53.7,1.0,1.0,1,0.124755859375,0.25,0.374755859375,0.007794423031925957,0.0069786938431098695
8192,128,8,57.21,71.22,1.0,1.0,1,0.998046875,0.25,1.248046875,0.021815187467226008,0.017523825821398484
8192,128,64,256.03000000000003,178.59000000000003,5.0,4.0,1,7.984375,0.25,8.234375,0.03216175838768894,0.046107704798700924
8192,128,128,514.9399999999999,465.01000000000005,10.0,10.0,1,15.96875,0.25,16.21875,0.03149638792869072,0.034878282187479834
8192,128,256,952.3299999999999,845.8399999999999,16.0,15.0,1,31.9375,0.25,32.1875,0.03379868322955278,0.0380538872600019
8192,256,1,54.41,49.62,1.0,1.0,1,0.24951171875,0.25,0.49951171875,0.009180513117993016,0.010066741611245466
8192,256,8,101.98,113.08999999999999,2.0,2.0,1,1.99609375,0.25,2.24609375,0.02202484555795254,0.0198611172517464
8192,256,64,515.33,432.3,10.0,10.0,1,15.96875,0.25,16.21875,0.0314725515688976,0.03751734906315059
8192,256,128,1013.4499999999999,859.0499999999998,19.0,19.0,1,31.9375,0.25,32.1875,0.03176032364694854,0.03746871544147606
8192,256,256,1879.22,1667.3899999999999,32.0,32.0,1,63.875,0.25,64.125,0.034123200051085024,0.03845830909385327
16384,1,1,29.87,20.94,1.0,1.0,1,0.0009746551513671,1.0,1.0009746551513672,0.0335110363291385,0.04780203701773482
16384,1,8,24.57,17.05,1.0,1.0,1,0.0077972412109375,1.0,1.0077972412109375,0.04101738873467389,0.05910834259301686
16384,1,64,23.32,16.21,1.0,1.0,1,0.0623779296875,1.0,1.0623779296875,0.045556514995175816,0.06553842872840838
16384,1,128,23.92,16.55,1.0,1.0,1,0.124755859375,1.0,1.124755859375,0.04702156602738294,0.0679610791163142
16384,1,256,27.95,18.92,1.0,1.0,1,0.24951171875,1.0,1.24951171875,0.044705249329159216,0.06604184559989429
16384,8,1,35.29,29.65,1.0,1.0,1,0.0077972412109375,1.0,1.0077972412109375,0.028557586886113276,0.03398978891099284
16384,8,8,31.54,24.29,1.0,1.0,1,0.0623779296875,1.0,1.0623779296875,0.0336835107700539,0.04373725523620832
16384,8,64,33.34,29.03,1.0,1.0,1,0.4990234375,1.0,1.4990234375,0.044961710782843424,0.051637045728556666
16384,8,128,41.81,39.47,1.0,1.0,1,0.998046875,1.0,1.998046875,0.04778873176273619,0.05062191221180644
16384,8,256,64.07,77.46,1.0,1.0,1,1.99609375,1.0,2.99609375,0.04676281801154987,0.038679237671056035
16384,64,1,61.36,67.87,1.0,1.0,1,0.0623779296875,1.0,1.0623779296875,0.01731385152684974,0.01565312994972005
16384,64,8,67.45,68.04,1.0,1.0,1,0.4990234375,1.0,1.4990234375,0.022224217012601927,0.02203150260875955
16384,64,64,159.17,175.59,3.0,3.0,1,3.9921875,1.0,4.9921875,0.03136387196079664,0.028430932854946182
16384,64,128,282.15,287.51,5.0,5.0,1,7.984375,1.0,8.984375,0.031842548289916714,0.031248913081284132
16384,64,256,511.9,588.53,8.0,8.0,1,15.96875,1.0,16.96875,0.03314856417268998,0.028832429952593754
16384,128,1,76.13,95.21,1.0,1.0,1,0.124755859375,1.0,1.124755859375,0.014774147633981348,0.01181342148277492
16384,128,8,86.84,114.06,1.0,1.0,1,0.998046875,1.0,1.998046875,0.02300837027867342,0.017517507233035245
16384,128,64,280.58,252.63,5.0,4.0,1,7.984375,1.0,8.984375,0.03202072492693706,0.03556337331274987
16384,128,128,561.8100000000001,538.63,10.0,10.0,1,15.96875,1.0,16.96875,0.03020371655897901,0.031503536750645156
