image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,n_runs,input_disk_gib,output_gib,total_disk_gib,other_wsclean_s
16384,128,1,0.22165700000000002,0.0259865,0.3090258,0.5566693,149.86,1,0.124755859375,1.0,1.124755859375,149.3033307
16384,128,8,0.26843900000000004,0.0248904,0.353809,0.6471384,205.0,1,0.998046875,1.0,1.998046875,204.3528616
16384,128,64,0.839391,0.0298286,0.975835,1.8450546,630.61,1,7.984375,1.0,8.984375,628.7649454
16384,128,128,1.5530019999999998,0.0317917,2.2743010000000004,3.8590947,1096.71,1,15.96875,1.0,16.96875,1092.8509053
16384,128,256,3.0095229999999997,0.0359656,4.185940000000001,7.231428600000001,2067.12,1,31.9375,1.0,32.9375,2059.8885714
16384,256,1,0.268135,0.0283711,0.35829900000000003,0.6548051,250.96,1,0.24951171875,1.0,1.24951171875,250.3051949
16384,256,8,0.37556,0.029084800000000004,0.547944,0.9525888,370.38,1,1.99609375,1.0,2.99609375,369.4274112
16384,256,64,1.5728100000000003,0.032894700000000006,2.2622679999999997,3.8679727,1208.12,1,15.96875,1.0,16.96875,1204.2520272999998
16384,256,128,3.0007439999999996,0.04090190000000001,4.445564000000001,7.487209900000001,2153.65,1,31.9375,1.0,32.9375,2146.1627901
16384,256,256,5.887941000000001,0.057872799999999995,8.430324999999998,14.3761388,4119.0,1,63.875,1.0,64.875,4104.6238612
32768,1,1,0.01166,0.001533,0.11932,0.132513,79.62,1,0.0009746551513671,4.0,4.000974655151367,79.487487
32768,1,8,0.012693,0.0,0.10132,0.11401299999999999,78.94,1,0.0077972412109375,4.0,4.0077972412109375,78.825987
32768,1,64,0.012708,0.001472,0.096182,0.110362,82.01,1,0.0623779296875,4.0,4.0623779296875,81.89963800000001
32768,1,128,0.016934,0.0012548,0.097257,0.1154458,84.27,1,0.124755859375,4.0,4.124755859375,84.15455419999999
32768,1,256,0.028601,0.0018778,0.11435,0.14482879999999998,92.7,1,0.24951171875,4.0,4.24951171875,92.5551712
32768,8,1,0.06335099999999999,0.0065231,0.143957,0.2138311,92.43,1,0.0077972412109375,4.0,4.0077972412109375,92.21616890000001
32768,8,8,0.066482,0.007792199999999999,0.129226,0.20350020000000002,86.41,1,0.0623779296875,4.0,4.0623779296875,86.2064998
32768,8,64,0.084476,0.0087672,0.137226,0.23046919999999999,110.17,1,0.4990234375,4.0,4.4990234375,109.9395308
32768,8,128,0.121763,0.007103,0.172585,0.301451,164.7,1,0.998046875,4.0,4.998046875,164.398549
32768,8,256,0.21536499999999997,0.009540100000000001,0.26707000000000003,0.4919751,206.16,1,1.99609375,4.0,5.99609375,205.6680249
32768,64,1,0.180649,0.0206988,0.25587,0.4572178,130.43,1,0.0623779296875,4.0,4.0623779296875,129.9727822
32768,64,8,0.20658,0.0214101,0.277904,0.5058941,164.84,1,0.4990234375,4.0,4.4990234375,164.3341059
32768,64,64,0.469741,0.0213102,0.6497930000000001,1.1408442,370.07,1,3.9921875,4.0,7.9921875,368.9291558
32768,64,128,0.822139,0.0247919,0.9742569999999999,1.8211879,611.57,1,7.984375,4.0,11.984375,609.7488121
32768,64,256,1.578246,0.03841769999999999,2.1307139999999998,3.7473776999999995,1113.25,1,15.96875,4.0,19.96875,1109.5026223
