image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,wall_s_mean,wall_s_std,throughput_mvis_s_mean,throughput_mvis_s_std,gpu_sm_util_mean_pct,gpu_sm_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_mem_used_sum_mb_peak,gpu_sm_util_active_mean_pct,gpu_mem_util_active_mean_pct,gpu_mem_used_sum_mb_active_mean,cpu_power_sum_w_mean,other_s,n_runs
4096,256,64,1.033029,0.0095856,1.8630300000000002,2.9056446000000005,1286.96,1286.96,,782.711,,0.08393987341772152,24.75,0.010996835443037974,8.25,53034.0,8.488,1.112,34992.248,234.38074866141736,1284.0543554,1
4096,256,128,2.0285539999999997,0.0115592,3.5402299999999998,5.5803432,2268.79,2268.79,,826.7963157894737,,0.09142030848329048,25.0,0.008737888075934348,2.25,51704.0,10.050271739130435,0.9605978260869565,37221.684782608696,235.03719792179652,2263.2096568,1
4096,256,256,3.9972100000000004,0.0172615,6.696880000000001,10.711351500000001,4493.0,4493.0,,886.806875,,0.09133964817320704,25.0,0.008497970230040595,2.25,51940.0,11.212624584717608,1.043189368770764,39857.8073089701,235.34236582343277,4482.2886485,1
8192,1,1,0.010599,0.0,0.11751,0.128109,34.97,34.97,,0.95,,0.05927750410509031,25.0,0.007060755336617406,3.0,55290.0,2.6940298507462686,0.3208955223880597,23174.985074626864,232.8708092126756,34.841891,1
8192,1,8,0.011605,0.001009,0.099355,0.111969,35.22,35.22,,9.0,,0.05133048620236531,13.0,0.008377135348226018,3.25,52804.0,3.125,0.51,23296.72,232.8406803385417,35.108031,1
8192,1,64,0.010627,0.0013101,0.09327,0.1052071,38.86,38.86,,76.73,,0.056013579049466536,25.0,0.005577109602327837,3.5,52150.0,3.766304347826087,0.375,22608.782608695652,232.8269295819936,38.7547929,1
8192,1,128,0.014823,0.001461,0.0953,0.11158399999999999,43.89,43.89,,151.8,,0.03579436258808456,14.25,0.004244074311338886,3.25,44416.0,2.8653846153846154,0.33974358974358976,23945.53846153846,232.7881927480916,43.778416,1
8192,1,256,0.023291,0.001265,0.1091,0.133656,52.88,52.88,,263.35,,0.04914664981036662,23.75,0.005214917825537294,3.5,52320.0,3.173469387755102,0.336734693877551,24488.85714285714,232.9439830774052,52.746344,1
8192,8,1,0.048704,0.0059533,0.133695,0.1883523,42.01,42.01,,6.66,,0.08408143635780699,25.0,0.017313241423533184,15.5,56278.0,3.9734848484848486,0.8181818181818182,25223.424242424244,232.96440867070453,41.8216477,1
8192,8,8,0.051857,0.0070842,0.116472,0.1754132,45.62,45.62,,60.53,,0.06432655654383736,25.0,0.018106734434561626,14.75,54560.0,3.894230769230769,1.0961538461538463,24723.69230769231,232.96472488945045,45.444586799999996,1
